satellite,camera,date,path,width,height,bytes,brightness,contrast,status,sha256
KASHIWA,CAM,2024-04-26,data/01_kashiwa/images/kashiwa_20240426_3d9200b3a2.jpg,144,108,4087,159.47,58.05,ok,3d9200b3a257d9949b6e4d815b3530d5f3edc3e80d4369df002a7d2d9ee67352
KASHIWA,CAM,2024-04-27,data/01_kashiwa/images/kashiwa_20240427_4272ca031e.jpg,144,108,3843,71.99,76.36,ok,4272ca031ea82cb088da1f9c707a95357f6e96d37334e44e3db42a03a8b0c4ed
KASHIWA,CAM,2024-04-29,data/01_kashiwa/images/kashiwa_20240429_2603288118.jpg,144,108,3843,68.45,72.11,ok,260328811863ec6aee94bb8eb3521289c7b9a17349eeb972b7d125ccb65bc520
KASHIWA,CAM,2024-05-12,data/01_kashiwa/images/kashiwa_20240512_7dcc431cdc.jpg,144,108,4514,117.35,50.93,ok,7dcc431cdc843d6165df5a98f229963341aabd88c9d4392dbc3bd1bc1ca10af2
KASHIWA,CAM,2024-05-17,data/01_kashiwa/images/kashiwa_20240517_a0575d8550.jpg,144,108,4232,134.64,45.05,ok,a0575d855095b8458e0c933ce437b71f0d339e60af3c1626f21487207815c49b
KASHIWA,CAM,2024-05-22,data/01_kashiwa/images/kashiwa_20240522_021a9a61d1.jpg,144,108,3721,182.79,50.87,ok,021a9a61d1a22c65870adcccd18f2bde6bb55a850d70159de6b5c704ef1858a5
KASHIWA,CAM,2024-05-23,data/01_kashiwa/images/kashiwa_20240523_59efc2e7c1.jpg,144,108,1037,0.17,4.19,dark,59efc2e7c186334c6c0c49741d0e553dc9f03a83251577d19bf26748ab1019e9
KASHIWA,CAM,2024-05-23,data/01_kashiwa/images/kashiwa_20240523_858e3d2bd0.jpg,144,108,976,0.14,4.00,dark,858e3d2bd0efcabc4c1694299043dd21e70c05663750e7affa74f7eecafcd165
KASHIWA,CAM,2024-05-24,data/01_kashiwa/images/kashiwa_20240524_fa98c2dce8.jpg,144,108,4158,146.49,54.83,ok,fa98c2dce80ce29bc0e4f708ae4dd7523b84d053bf3a59159fdb9e78fece2334
KASHIWA,CAM,2024-05-27,data/01_kashiwa/images/kashiwa_20240527_5ade14c89d.jpg,144,108,4453,116.92,55.97,ok,5ade14c89da78549d686f6343157eecf0112fa06bae09906b0e2c77ecb12f4af
KASHIWA,CAM,2024-05-27,data/01_kashiwa/images/kashiwa_20240527_63bb4c2a34.jpg,144,108,4575,176.98,53.79,ok,63bb4c2a34a62a1ad3b2f96bda2ff87c1e2b1ee8122021e2527b2e367b3e16c1
KASHIWA,CAM,2024-05-29,data/01_kashiwa/images/kashiwa_20240529_fdfd053ce5.jpg,144,108,976,0.18,0.85,dark,fdfd053ce5535dad5462965ef9cbd877cccdda4e1ddff0c69bbdf07e30b9454b
KASHIWA,CAM,2024-06-01,data/01_kashiwa/images/kashiwa_20240601_a87d425ef2.jpg,144,108,3904,128.34,72.36,ok,a87d425ef2daf15156f6a37131de7703a863ab9ee38d7cc5222141dca6417bad
KASHIWA,CAM,2024-06-01,data/01_kashiwa/images/kashiwa_20240601_b87a5806eb.jpg,144,108,3843,157.75,73.95,ok,b87a5806ebece9f36a9f7387db4578c41b2f84fd023e0eb5bf3f372da48f456e
KASHIWA,CAM,2024-06-02,data/01_kashiwa/images/kashiwa_20240602_74b7d8d037.jpg,144,108,3786,154.63,75.22,ok,74b7d8d037d0bb4bdab76c2370a496bd9685310313ecbe849253f8f4beab39e8
KASHIWA,CAM,2024-06-02,data/01_kashiwa/images/kashiwa_20240602_e608a24a60.jpg,144,108,3834,157.87,74.01,ok,e608a24a608d33c027eb88f9a1b5d52b201966389dc742abefe7f5814ea40927
